type,priority,id,date,title,abstract
Robot Retrieved,1,6227933,8/5/2001,Robot ball," The robot ball comprises an encapsulating shell, a drive system and a steering system. The shell has an axis of rotation and an outer annular tread surface centered on the axis of rotation. The drive system is encapsulated in the shell and comprises a first motorized mechanism and a counterweight. The first motorized mechanism has a stator portion and a rotor portion centered on the axis of rotation and connected to the shell. The counterweight is connected to the stator portion and is spaced apart from the axis of rotation whereby, due to inertia of the counterweight, rotation of this rotor portion rotates the shell to roll the tread surface on the ground. The steering system comprises a second motorized mechanism through which the counterweight is connected to the stator portion. This second motorized mechanism includes a pivot assembly having a pivot axis transversal to the axis of rotation. Therefore, activation of the second motorized mechanism rotates the counterweight about the pivot axis, tilts the axis of rotation, displaces the center of gravity of the robot ball, and thereby changes the trajectory of the robot ball. An inclinometer is mounted on the stator portion to measure an inclination of the stator portion about the axis of rotation, and a controller regulates the speed of rotation of the rotor portion in relation to the measured inclination. The robot ball further includes a second inclinometer so mounted on the platform as to measure an inclination about the pivot axis. The controller then controls the electric servomotor in relation to the measured platform inclination about the pivot axis. "
Robot Retrieved,2,4897070,30/1/1990,Two-wheeled motorized toy," A two-wheeled toy includes a central housing supported on a rotatable shaft between the wheels. The diameter of the wheels is larger than the housing, with a figure mounted on the housing extending above the wheels. The housing includes a miniature electric motor, gearing, batteries and a switch to activate the motor and drive the wheels. The batteries are mounted in the bottom of the housing to provide a weight and low center of gravity to maintain the housing and figure in an upright position during movement. The figure limits counter-rotation of the housing about the shaft when the wheels start to turn and move forward. The shaft extends outwardly from the wheels and provides a stop which prevents the wheels from falling sideways. The wheels may also be driven independently by separate motors and shafts and may be remotely controlled to permit turning and movement in different directions while the housing remains upright. "
Robot Retrieved,3,7258591,21/8/2007,Mobile roly-poly-type apparatus and method,"The present invention generally relates to apparatuses having some characteristic(s) of traditional “roly-poly” toys, which are traditional passive toys that, when struck, wobble about their typically-rounded base but stay upright due to bottom-heavy weighting. Some embodiments of the present invention can be especially relevant to such an apparatus that is mobile and/or not totally passive. For example, some embodiments of the present invention have locomotive ability, for example, via one or more wheels or other type of roller(s)"
Robot Retrieved,4,8197298,12/6/2012,Transformable toy vehicle,A toy vehicle includes a central housing having first and second oppositely disposed sides. A first wheel is rotatably mounted on the first side of the housing and a second wheel is rotatably mounted on the second side of the housing. Each of the first and second wheels has a central hub. Each hub has a center disposed along a common first axis of rotation. A plurality of vanes are attached to the hub and form the first and second wheels. An end of each vane distal to the hub forms a circumferential surface portion of one of the first and second wheels. Each vane is individually and separately manually angularly repositionable about a second axis of rotation extending transversely with respect to the first axis of rotation.
Robot Retrieved,5,6066026,23/5/2000,Remote controlled simulated tire amusement device, A remote control movable ball amusement device includes a plurality of shell parts so as to result in a non-spherical ball. Preferably each shell part is driven independently of the other. An antenna is provided which extends externally of the shell parts to increase the range of operability of the device. 
Robot Retrieved,6,4601675,22/7/1986,Mechanized toy ball, A mechanized ball includes a hollow sphere having a removable hatch through which a powered ball driving unit can be placed within the sphere and removed therefrom. The ball driving unit can be electrically or mechanically powered and may be in the form of a single powered driving wheel or a self-contained four wheeled toy vehicle. The vehicle may be guided within the ball by a strut and/or a spring device which contacts an interior part of the ball. In some species the ball may be steered by a weight which is moved back and forth along a dual helical groove on a diametral support from which a single powered drive wheel is suspended. 
Robot Retrieved,7,8025551,27/9/2011,Multi-mode three wheeled toy vehicle,"A toy vehicle has first, second and third wheels for movement over a surface. Each of the first, second and third wheels has a respective first, second and third axis of rotation that lies between the remaining two other axes of rotation such that the three axes of rotation are mutually adjoining. Each of the three axes of rotation crosses over the other two axes of rotation such that an angle is formed between each adjoining crossing pair of the axes of rotation where each angle is other than a multiple of 90 degrees. Each wheel is individually powered so that the toy vehicle can translate in any horizontal direction regardless of its facing direction. Two of the wheels can be realigned so their axes of rotation are collinear for conventional movement."
Robot Retrieved,8,10695686,30/6/2020,Mechanical spinning robot toy,A mechanical spinning robot toy includes a top section and a bottom exposed outer gear section. The top section resembles a robot possibly including a head portion and a body portion which may be integral. Any of a variety of arm-like appendages extends outward from the body. The spinning drive mechanism is within the top section. The bottom section has teeth or cogs capable of meshing with another gear or a rack on any of a variety of accessories to move the robot along a track or to animate the accessories. A lower weighted convex surface portion in the bottom biases the robot upright and facilitates spinning of the robot upright. The top and bottom sections are frictionally fit together to rotate or spin together and to spin separately with respect to each when either the top or bottom sections are not allowed to spin.
Robot Retrieved,9,7794300,14/9/2010,Transformable toy vehicle,"A toy vehicle includes a central housing having first and second oppositely disposed sides. A first wheel is rotatably mounted on the first side of the housing, and a second wheel is rotatably mounted on the second side of the housing. Each of the first and second wheels has a central hub and a plurality of individual vanes rotatably attached to the hub. Each hub has a center disposed along a first axis of rotation. Each vane is rotatable about a second vane axis extending transversely with respect to the first axis. An end of each vane distal to the hub forms a circumferential surface portion of one of the first and second wheels."
Robot Retrieved,10,5871386,16/2/1999,Remote controlled movable ball amusement device, A remote control movable ball amusement device includes a plurality of shell parts so as to result in a non-spherical ball. Preferably each shell part is driven independently of the other. An antenna is provided which extends externally of the shell parts to increase the range of operability of the device. 
Robot Retrieved,11,11020679,1/6/2021,Rotating flipping and grasping movements in mechanical toys,"A mechanical toy incorporating structures that coordinate the positioning and movement of specific body parts for rotating, flipping and grasping movements with programmable systems, methods, and devices within toy structures. Extensions connected to opposite sides of a motive body or head assembly including grasping members and support structures for rotating and/or turning actions about a central body portion including grasping appendages. The toy apparatus may also interact with accessory items to enhance play value."
Robot Retrieved,12,10399616,3/9/2019,Spherical mobile robot with pivoting head,"A mobile, spherical robot includes a spheroid shell, an internal assembly secured to the shell, and a head disposed atop the shell. The internal assembly is disposed within the shell for propelling the mobile robot. The internal assembly includes a base, a flywheel assembly rotatably secured to the base, a drive assembly rotatably secured to the spheroid shell and configured to propel the mobile robot by rotating the spheroid shell about the base a pivoting arm pivotably secured to the base, and the pivoting arm. The head is secured to the magnetized end of the pivoting arm through the spheroid shell. The head is configured to move relative to the spheroid shell and relative to the base by the pivoting of the pivoting arm."
Robot Retrieved,13,10870064,22/12/2020,Remote controlled device with self aligning magnetically biased accessory,Disclosed is a self-aligning magnetic stationary accessory for use atop a spherical RC controlled self-propelled device. A novel device is employed includes a toy robot having first and second pairs of magnets aligned respectively with opposite polarities disposed in the stationary accessory. The spherical body with its stationary accessory allow the user to simply and precisely navigate the spherical body in a particular orientation for optimal RC controlled manipulation of the robot by a user.
Robot Retrieved,14,4921458,1/5/1990,Upright rolling toy assembly," A self-righting upright rolling toy figure is provided which can be molded in half sections and assembled into a body forming the figure. Weights are mounted in the lowermost portion of the sides of the halves in precise location to form the necessary righting and stabilizing forces. A wheel having a relatively wide rim and hollow interior portion is pivotally mounted within the halves with the lower portion of the wheel exposed below the body surface for rolling contact on a support surface. The mounted counterbalancing weights are positioned within the rim of the wheel in symmetrical configuration and spaced slightly inward from the inner surface of the rim which is in contact with the support surface. A circular cap can be attached to the upper portion of the assembled body halves to seal and secure the halves. Suitable sockets are provided on each side of the figure in a position coaxial with the axle rotatably supporting the internal wheel. Various assemblies can be formed by interconnecting the figures between themselves by the use of elongated pins inserted in the provided sockets as well as inserting shafts or pins into the figure sockets for supporting carts, wagons, wheelbarrows or other objects. The figures can have any body design desired whether it be a human figure, animal or inanimate object configurations. The shapes, color and design can be any arrangement desired. "
Robot Retrieved,15,6439948,27/8/2002,Two-wheeled amphibious toy vehicle,"An elongated substantially hollow body supports a pair of motor drive units, a battery power supply, and a radio frequency receiver and controller module. A pair of axles are rotatably supported near the frontal end of the elongated body and in turn support a pair of large diameter wheels. The motor drive units within the body are operatively coupled to the axles and are able to differentially drive the wheels. The position of the axles and wheels near the frontal portion of the vehicle results in the extension of a substantially greater portion of the body away from and beyond the wheels. Thus the extending portion of the body defines a trailing end. A control transmitter provides independent operational signals to each of the motor drive units to differentially drive the wheels. Each time the direction of travel of the toy vehicle is reversed, the reaction torque applied by the motors to the body causes the body to flip about the axles and invert bringing the trailing end to the opposite side of the wheels. By skillful manipulation of the controls, various tricks and stunts may be performed by the toy vehicle. The toy vehicle is also operable in an aquatic environment utilizing the wheels as paddle wheels for propulsion."
Robot Retrieved,16,6227934,8/5/2001,Toy vehicle capable of propelling itself into the air," A toy vehicle has a curved cam surface on the upper surface of its chassis, with a forward point on a tangent that is relatively close to the center of mass of the vehicle, and a rearward point on a tangent that is relatively far from the center of mass. The vehicle includes a breaking mechanism that can be used to start the vehicle rotating forwardly. As the vehicle rotates, the point of contact between the vehicle and the supporting surface moves from the front wheels to a leading edge and subsequently to the cam surface. As the vehicle rotates with the cam surface in contact with the supporting surface, the center of mass of the vehicle is forced upwardly, providing sufficient momentum to propel the vehicle into the air. "
Robot Retrieved,17,10611019,7/4/2020,Multimodal dynamic robotic systems,"Robotic systems include a frame or body with two or more wheels rotatably mounted on the frame or body and a motor for independently driving each wheel. A system controller generates a signal for actuating each motor based on information provided by one or more sensors in communication with the system controller for generating feedback signals for providing reactive actuation of the motors for generating one or more functions selected from the group consisting of forward motion, backward motion, hopping, climbing, and balancing. A power source is included for providing power to operate the drive motors, system controller and the one or more sensors."
Robot Retrieved,18,10189342,29/1/2019,Ball-balancing robot and drive assembly therefor,"A ball-balancing drive assembly includes a ball having a ball surface and a reference axis extending through a centroid of the ball. Three omniwheel assemblies, each having a motor with a motor axle and an omniwheel configured to rotate around the motor axle are mounted on a chassis configured for supporting the three omniwheel assemblies at radially symmetric spacings with the motor axles oriented at an angle relative to the reference axis and the omniwheels oriented in mutually-orthogonal planes. Each omniwheel frictionally contacts the ball surface to convert rotational motion of the motor axle to torque on the ball."
Robot Retrieved,19,4541814,17/9/1985,Radio controlled vehicle within a sphere," A radio controlled vehicle within a sphere has two wheels touching the sphere at diametrically opposite points, with the mass of the body of the vehicle hanging underslung from the wheels; to preserve a constant length always fitting the sphere interior the wheel which steers has a steering axis substantially congruent with the sphere diameter on which the wheels touch the sphere; when confronted with an obstacle stopping roll of the sphere in a given direction, the vehicle climbs the interior wall of the sphere and either tumbles backwards or to the side, or may perform an Immelmann maneuver, depending on course taken within the sphere by the wheels which are free to travel in any part of the sphere interior. "
Robot Retrieved,20,10596477,24/3/2020,Simply constructed and compact traverse and elevation mechanism and a toy robot using same,A traverse and elevation mechanism and a toy robot using the mechanism. The mechanism is placed in a rollable spherical housing and includes two cams and cam follower that adjust radial and angular positions of an internal magnetic element. The internal magnetic element is magnetically attracted to an external magnetic element such that movement of the internal magnetic element moves the external magnetic element.
Robot Retrieved,21,7217170,15/5/2007,Transformable toy vehicle,"A toy vehicle includes a central housing having first and second oppositely disposed sides. A first wheel is rotatably mounted on the first side of the housing, and a second wheel is rotatably mounted on the second side of the housing. Each of the first and second wheels has a central hub and a plurality of individual vanes rotatably attached to the hub. Each hub has a center disposed along a first axis of rotation. Each vane is rotatable about a second vane axis extending transversely with respect to the first axis. An end of each vane distal to the hub forms a circumferential surface portion of one of the first and second wheels."
Robot Retrieved,22,4471567,18/9/1984,Two-way operating ball enclosed vehicle," A vehicle within a ball self-maneuvers to escape obstacles with which confronted, without need for special sensors or programmed response; the vehicle has four wheels, two in front and two behind, but the wheels are of two different tread widths, wider tread widths being one in front and, for example, one diagonally from it at the rear, and similarly narrower tread widths being supplied on the remaining two wheels; relation of the wheel spacing and ball inner diameter prevents more than three wheels from touching the ball at any one time; this, combined with tumbling causing the vehicle to operate upside down at times and initiated by stoppage of the ball at an obstacle, turns the vehicle as it oscillates within the ball and redirects the ball, freeing it from the obstacle. "
Robot Retrieved,23,9757855,12/9/2017,Multimodal dynamic robotic systems,"Robotic systems according to the invention include a frame or body with two or more wheels rotatably mounted on the frame or body and a motor for independently driving each wheel. A system controller generates a signal for actuating each motor based on information provided by one or more sensors in communication with the system controller for generating feedback signals for providing reactive actuation of the motors for generating one or more functions selected from the group consisting of forward motion, backward motion, climbing, and balancing. A power source is included for providing power to operate the drive motors, system controller and the one or more sensors."
Robot Retrieved,24,4310987,19/1/1982,Amusement device, A rolling amusement device powered by light falling on solar cells wherein the solar cells constantly face the light source. 
Robot Retrieved,25,7563151,21/7/2009,Toy vehicle with big wheel,"A toy vehicle includes a driven wheel, a drive assembly including a drive motor, and a steering assembly including a first steering motor and first and second steering arms. The drive motor is coupled to the driven wheel. The first and second steering arms are coupled to the steering motor. The drive motor drives rotation of the drive assembly relative to the driven wheel, and the steering motor drives rotation of the first and second steering arms relative to the drive assembly. Preferably, a second steering motor is provided, and rotation of the first and second steering arms may be independently controlled."
Robot Retrieved,26,5439408,8/8/1995,Remote controlled movable ball amusement device, A remote controlled movable ball amusement device includes a hollow sphere having a propulsion mechanism within the sphere. The propulsion mechanism includes a receiver and a drive unit. The drive unit causes the sphere to move when actuated by the receiver. A remote transmitter sends signals to the receiver for causing the actuation of the drive unit. 
Robot Retrieved,27,4363187,14/12/1982,Toy capable of repeatedly upsetting and then righting itself," A mechanical toy capable of turning itself upside down has a body shell shaped to include a curved surface such that when it is self inverted it rolls upon the curved surface back to its upright position. The body includes supporting members, preferably wheels, on which the body normally will rest. An inverting member is operatively attached to a motor and cyclically raises one end of the body allowing the body to pivot about a pivot surface which imparts a rolling motion to the body. The body rolls from the pivoting surface about its curved surface to its upright position and then preferably rolls on its wheels until it once again inverts itself. "
Robot Retrieved,28,10478971,19/11/2019,Spherical robot having a driving mechanism for indicating amount of stored electric power,"A robot includes a main casing, a first spherical cap and a second spherical cap, and a shaft linking the spherical caps. The robot further includes a display, a first driving mechanism causing the first and second spherical caps to be rotated by the shaft, and a second driving mechanism that causes the main casing to be rotated. The robot also includes a control circuit and an electric power source, charged by electric power from an external charger. If the remaining electric power of the electric power source is lower than or equal to a predetermined value, the second driving mechanism is controlled to stop rotation of the main casing, and the first driving mechanism is controlled to switch a rotational direction of the first spherical cap and the second spherical cap, causing the display to be reciprocally moved in a vertical direction."
Robot Retrieved,29,9931580,3/4/2018,Toy vehicle with rollover stunt movements,"An illustrative toy vehicle is provided having a two-section chassis and a pivot mechanism rotatably attaching the two sections. The vehicle has the ability to move in multiple orientations and execute movements including a side rollover movement where the pivot mechanism assists in directing the vehicle to roll over from a first orientation to a second orientation about a central axis. A modified wheel design further assists in facilitating movements including the rollover movement. The vehicle may perform movements without user control where the vehicle responds to external factors, such as objects or terrain or the vehicle may use control systems such as radio or remote control with a transmitter/receiver pair, on vehicle switches or sensors utilizing interactive preprogrammed content."
Robot Retrieved,30,9902058,27/2/2018,Multimodal dynamic robotic systems,"Robotic systems include a frame or body with two or more wheels rotatably mounted on the frame or body and a motor for driving each wheel. A system controller generates a signal for actuating each motor based on information provided by one or more sensors in communication with the system controller for generating feedback signals for providing reactive actuation of the motors for generating one or more functions selected from the group consisting of forward motion, backward motion, hopping, climbing, and balancing. A power source is included for providing power to operate the drive motors, system controller and the one or more sensors."
Robot Retrieved,31,7347761,25/3/2008,Motorized amusement device,"A toy is comprised of a propulsion system, such as a frame rollably supported by one or more driven wheels. The toy may be configured generically to include one or more platforms and a mounting bracket for connecting or supporting a variety of elements for transport and the remote control is used to control the toy, such as to cause the toy to move forward, in reverse, to stop, and to turn. In one embodiment the toy is utilized to entertain a pet, the toy having an animal likeness connected thereto. The animal likeness maybe animated and controlled remotely as well. The animal likeness is enticing to a pet in engaging in hunting and tracking of the toy."
Robot Retrieved,32,5692946,2/12/1997,Spherical steering toy," A spherical steering toy including a spherical housing, a mounting plate mounted inside the spherical housing and having wheels maintained perpendicularly in touch with the inside wall of the spherical housing, a servo-motor having an output shaft fastened to the center of the mounting plate by a screw, a driving mechanism coupled to the servo-motor at one side opposite to the crossed frame, which driving mechanism including a reversible motor, a transmission gear train, and a wheel coupled to the reversible motor through the transmission gear train and rotated by it against the inside wall of the spherical housing, and a control circuit controlled by a remote controller to operate the servo-motor and the reversible motor, wherein starting the reversible motor causes the spherical housing to rotate forwards and backwards on a flat surface; starting the servo-motor causes the spherical housing to change the steering direction. "
Robot Retrieved,33,8910734,16/12/2014,Robotic ball device with improved robustness and a multitude of interactive and sensing capabilities,"A robotic ball device having a center point and an axis of rotation passing through the center point around which the robotic ball device rotates during motion in a forward linear direction includes a housing and a defined pathway located on an inner face of the housing that forms a closed loop around the axis of rotation. A rolling member is contained in the housing and movably disposed on the defined pathway. An actuator is coupled to the rolling member for actuating rotation of the rolling member. A weighted component is operationally coupled to the rolling member, and the weighted component is sufficiently heavy to maintain the rolling member, during a motion in the forward linear direction, at a substantially constant angular position in a forward vertical plane, which dissects the rolling member, relative to an origin in a moving frame of reference that moves with the robotic ball device."
Robot Retrieved,34,7104222,12/9/2006,Rolling pet toy,"A toy is provided that includes a clear plastic ball to be readily movable along a supportive surface, such as the ground. Within the ball there is located a motorized character assembly. The character assembly has an upper housing cover in the form of a mouse or other rodent that would visually trigger an instinctive response in a cat or some breeds of (hunting) dogs. Beneath the upper housing cover is a motor which operates a drive wheel assembly. The drive wheel assembly is to be in continuous contact with the inner surface of the ball. The wheels further are made of soft rubber that does not slide in the internal ball surface, but rather causes the ball to roll and be propelled forward."
Robot Retrieved,35,5041051,20/8/1991,Spheroid shaped toy vehicle with internal radio controlled steering and driving means," A radio-controlled rolling toy has a hollow shell containing a radio-controlled vehicle which may be caused to move sidewardly relative a shaft mounted coaxially with the outer surface of the shell. The vehicle may also be caused to perform a rotation relative the shell, the combination of said two movements enabling the shell to follow any type of tortous path on the ground. "
Robot Retrieved,36,6855028,15/2/2005,Remotely controlled steerable ball,"An amusement device of a projectile nature that can be thrown or flung or propelled through the air by a launcher includes the characteristic that it can be induced through an electo-mechanical device that deploys articulatable aerodynamic members that cause it to spin in such a way as, to change it's trajectory in mid-flight in response to a signal generated from a remote control device."
Inventor Initial,0,10016284,10/7/2018,Zero-profile expandable intervertebral spacer devices for distraction and spinal fusion and a universal tool for their placement and expansion,"A unique, universal Zero-Profile Expandable Intervertebral Spacer (ZP-EIS) device for fusion and distraction throughout the entire spine is provided which can be inserted via anterior, anterolateral, lateral, far lateral or posterior surgical approaches dependent on the need and preference. Multiple ZP-EIS embodiments each with unique mechanisms of calibrated expansion are provided. Two of these embodiments incorporate bi-directional fixating transvertebral (BDFT) screws and five other embodiments do not incorporate BDFT screws. A tool for implantation into the intervertebral device and calibrated device expansion is also disclosed."
Inventor Initial,0,10064738,4/9/2018,"Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs having a central screw locking lever, and pliers and devices for spinal fusion","A bi-directional fixating transvertebral (BDFT) screw/cage apparatus including an intervertebral cage for maintaining disc height, and a method of inserting the same is provided. The intervertebral cage includes a first internal screw guide and a second internal screw guide, a first screw member and a second screw member, and a central screw locking lever coupled to the intervertebral cage, wherein the central screw locking lever prevents the first screw member and the second screw from pulling-out of the first internal screw guide and the second internal screw guide. The central screw locking lever includes a rotatable handle and stem portion, or a screw locking horizontal bracket. A pliers device for inserting and removing the bi-directional fixating transvertebral (BDFT) screw/cage apparatus, a posterior cervical and lumbar facet joint staple, and a staple gun for a posterior cervical and lumbar facet joint staple also are provided."
Inventor Initial,0,10238505,26/3/2019,Bi-directional fixating/locking transvertebral body screw/intervertebral cage stand-alone constructs,"A bi-directional fixating transvertebral (BDFT) screw/cage apparatus is provided. The BDFT apparatus includes an intervertebral cage including a plurality of internal angled screw guides, a plurality of screw members, and a cage indentation adjacent to the screw guides that independently or supplemented by other screw locking mechanisms prevents the screw members from pulling out of the internal angled screw guides. The internal angled screw guides orient a first screw member superiorly and a second screw member inferiorly. The intervertebral cage is adapted for posterior lumbar intervertebral placement, anterior lumbar intervertebral placement, anterio-lateral thoracic intervertebral placement, or anterior cervical intervertebral placement."
Inventor Initial,0,10307268,4/6/2019,Intervertebral expandable implant,"An intervertebral expandable implant with first and second vertebral body engagement surfaces includes first and second implant structures defining first and second angled wedge portions. The first angled wedge portion has first and second inwardly-facing rails and first and second inwardly-facing slots. The second angled wedge portion has first and second outwardly-facing rails and first and second outwardly facing slots. The first implant structure is slidably-engaged with the second implant structure with the first inwardly-facing rail positioned in the first outwardly-facing slot, the second inwardly-facing rail positioned in the second outwardly facing slot, the first outwardly-facing rail positioned in the first inwardly-facing slot, and the second outwardly-facing rail positioned in the second inwardly-facing slot."
Inventor Initial,0,10369003,6/8/2019,"Artificial cervical and lumbar discs, disc plate insertion gun for performing sequential single plate intervertebral implantation enabling symmetric bi-disc plate alignment for interplate mobile core placement","An artificial replacement disc includes a pair of substantially parallel plates formed to occupy a space defined by vertebral endplates, each of the plates including a plurality of spikes on a first surface and a concave trough formed on a second surface opposite of the first surface. A mobile core includes a core rim with opposing convex surfaces extending from opposite sides of the core rim, the mobile core being capable of being disposed between the pair of plates to permit the vertebral endplates to move relative to one another. The spikes on each of the plates extend substantially away from the mobile core and the convex surfaces are formed to integrally fit within the concave trough of at least one of the plates. The core rim limits lateral movement of the mobile core relative to the parallel plates. One or more insertion tools for inserting and implanting the replacement disc are also described."
Inventor Initial,0,10376376,13/8/2019,"Artificial cervical and lumbar discs, disc plate insertion gun for performing sequential single plate intervertebral implantation enabling symmetric bi-disc plate alignment for interplate mobile core placement","An artificial replacement disc includes a pair of substantially parallel plates formed to occupy a space defined by vertebral endplates, each of the plates including a plurality of spikes on a first surface and a concave trough formed on a second surface opposite of the first surface. A mobile core includes a core rim with opposing convex surfaces extending from opposite sides of the core rim, the mobile core being capable of being disposed between the pair of plates to permit the vertebral endplates to move relative to one another. The spikes on each of the plates extend substantially away from the mobile core and the convex surfaces are formed to integrally fit within the concave trough of at least one of the plates. The core rim limits lateral movement of the mobile core relative to the parallel plates. One or more insertion tools for inserting and implanting the replacement disc are also described."
